file,cmi,level,authority,emotional,logical,statistical,hype,clickbait,propaganda,fear,enemy_frame,disclaimer_exploit,anonymous_authority,naked_number,sexual_induction,beauty_diet
corpus/phase2/note_087_20260405.txt,37.8,MEDIUM ⚠⚠,0.678,0.636,1.0,0.0,0.0,0.0,0.424,0.339,1.0,0.0,0.113,0.0,0.565,0.0
corpus/phase2/president.jp_articles_-_70000.txt,0.0,LOW    ⚠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/r25.jp_.txt,5.4,LOW    ⚠,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/www.ch-plyo.net_post_%E7%B5%84%E7%B9%94%E3%83%AA%E3%83%BC%E3%83%80%E3%83%BC%E3%8.txt,32.2,LOW    ⚠,0.275,0.154,0.927,1.0,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/www.hrpro.co.jp_keiei_articles_series_3739.txt,9.8,LOW    ⚠,0.0,0.177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/www.staff-tokai.co.jp_recruit_column_3168_.txt,29.6,LOW    ⚠,0.042,0.24,0.721,1.0,0.289,0.0,0.0,0.577,0.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/www.world-of-dawkins.com_sefure.txt,37.1,MEDIUM ⚠⚠,0.0,0.22,1.0,1.0,0.081,0.0,0.0,0.122,0.153,0.0,0.0,1.0,1.0,0.0
corpus/phase2/book/kimiwanazehatarakuka/ch1.txt,35.0,MEDIUM ⚠⚠,0.301,0.812,1.0,0.842,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kimiwanazehatarakuka/ch2.txt,27.7,LOW    ⚠,0.548,0.469,1.0,0.104,0.751,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kimiwanazehatarakuka/ch3.txt,27.0,LOW    ⚠,0.492,0.487,1.0,0.205,0.369,0.0,0.0,0.0,0.307,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kimiwanazehatarakuka/ch4.txt,23.4,LOW    ⚠,0.0,0.434,1.0,0.145,0.694,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kimiwanazehatarakuka/ch5.txt,35.2,MEDIUM ⚠⚠,0.0,0.789,1.0,0.421,0.757,0.0,0.0,0.126,0.789,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kimiwanazehatarakuka/ch6.txt,38.2,MEDIUM ⚠⚠,0.506,0.211,1.0,0.422,0.506,0.0,0.0,0.506,1.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kyouikunohoukai/ch1.txt,44.0,MEDIUM ⚠⚠,0.256,0.381,1.0,0.814,0.366,0.0,0.0,0.854,1.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kyouikunohoukai/ch2.txt,34.7,LOW    ⚠,0.272,0.684,1.0,1.0,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kyouikunohoukai/ch3.txt,33.8,LOW    ⚠,0.257,0.467,1.0,1.0,0.354,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kyouikunohoukai/ch4.txt,38.1,MEDIUM ⚠⚠,0.751,0.383,1.0,1.0,0.184,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0
corpus/phase2/book/kyouikunohoukai/ch5.txt,35.7,MEDIUM ⚠⚠,0.423,0.223,1.0,1.0,0.306,0.0,0.0,0.306,0.191,0.0,0.0,0.0,0.0,0.0
